Afghanistan,0,0,,,,,,,"Afghanistan,21.71,AFG"
Albania,0,"0,0",,,,,,,"Albania,13.40,ALB"
Algeria,0,"0,0,0",,,,,,,"Algeria,227.80,DZA"
American Samoa,0,"0,0,0,0",,,,,,,"American Samoa,0.75,ASM"
Andorra,0,"0,0,0,0,0",,,,,,,"Andorra,4.80,AND"
Angola,0,"0,0,0,0,0,0",,,,,,,"Angola,131.40,AGO"
Anguilla,0,"0,0,0,0,0,0,0",,,,,,,"Anguilla,0.18,AIA"
Antarctica,0,"0,0,0,0,0,0,0,0",,,,,,,"Antigua and Barbuda,1.24,ATG"
Antigua & Barbuda,0,"0,0,0,0,0,0,0,0,0",,,,,,,"Argentina,536.20,ARG"
Argentina,5,"0,0,0,0,0,0,0,0,0,5",,,,,,,"Armenia,10.88,ARM"
Armenia,0,"0,0,0,0,0,0,0,0,0,5,0",,,,,,,"Aruba,2.52,ABW"
Aruba,0,"0,0,0,0,0,0,0,0,0,5,0,0",,,,,,,"Australia,1483.00,AUS"
Australia,42,"0,0,0,0,0,0,0,0,0,5,0,0,42",,,,,,,"Austria,436.10,AUT"
Austria,13,"0,0,0,0,0,0,0,0,0,5,0,0,42,13",,,,,,,"Azerbaijan,77.91,AZE"
Azerbaijan,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0",,,,,,,"""Bahamas, The"",8.65,BHM"
Bahamas,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0",,,,,,,"Bahrain,34.05,BHR"
Bahrain,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0",,,,,,,"Bangladesh,186.60,BGD"
Bangladesh,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0",,,,,,,"Barbados,4.28,BRB"
Barbados,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0",,,,,,,"Belarus,75.25,BLR"
Belarus,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0",,,,,,,"Belgium,527.80,BEL"
Belgium,6,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6",,,,,,,"Belize,1.67,BLZ"
Belize,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0",,,,,,,"Benin,9.24,BEN"
Benin,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0",,,,,,,"Bermuda,5.20,BMU"
Bermuda,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0",,,,,,,"Bhutan,2.09,BTN"
Bhutan,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0",,,,,,,"Bolivia,34.08,BOL"
Bolivia,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0",,,,,,,"Bosnia and Herzegovina,19.55,BIH"
Bosnia & Herzegovina,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0",,,,,,,"Botswana,16.30,BWA"
Botswana,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0",,,,,,,"Brazil,2244.00,BRA"
Bouvet Island,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0",,,,,,,"British Virgin Islands,1.10,VGB"
Brazil,2,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2",,,,,,,"Brunei,17.43,BRN"
British Indian Ocean Territory,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0",,,,,,,"Bulgaria,55.08,BGR"
British Virgin Islands,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0",,,,,,,"Burkina Faso,13.38,BFA"
Brunei,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0",,,,,,,"Burma,65.29,MMR"
Bulgaria,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0",,,,,,,"Burundi,3.04,BDI"
Burkina Faso,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0",,,,,,,"Cabo Verde,1.98,CPV"
Burundi,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0",,,,,,,"Cambodia,16.90,KHM"
Cambodia,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0",,,,,,,"Cameroon,32.16,CMR"
Cameroon,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0",,,,,,,"Canada,1794.00,CAN"
Canada,41,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41",,,,,,,"Cayman Islands,2.25,CYM"
Cape Verde,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0",,,,,,,"Central African Republic,1.73,CAF"
Caribbean Netherlands,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0",,,,,,,"Chad,15.84,TCD"
Cayman Islands,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0",,,,,,,"Chile,264.10,CHL"
Central African Republic,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0",,,,,,,"China,10360.00,CHN"
Chad,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0",,,,,,,"Colombia,400.10,COL"
Chile,16,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16",,,,,,,"Comoros,0.72,COM"
China,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0",,,,,,,"""Congo, Democratic Republic of the"",32.67,COD"
Christmas Island,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0",,,,,,,"""Congo, Republic of the"",14.11,COG"
CíÇte däó»Ivoire,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0",,,,,,,"Cook Islands,0.18,COK"
Cocos (Keeling) Islands,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0",,,,,,,"Costa Rica,50.46,CRI"
Colombia,8,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8",,,,,,,"Cote d'Ivoire,33.96,CIV"
Comoros,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0",,,,,,,"Croatia,57.18,HRV"
Congo - Brazzaville,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0",,,,,,,"Cuba,77.15,CUB"
Congo - Kinshasa,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0",,,,,,,"Curacao,5.60,CUW"
Cook Islands,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0",,,,,,,"Cyprus,21.34,CYP"
Costa Rica,16,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16",,,,,,,"Czech Republic,205.60,CZE"
Croatia,9,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9",,,,,,,"Denmark,347.20,DNK"
Cuba,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0",,,,,,,"Djibouti,1.58,DJI"
Curaí_ao,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0",,,,,,,"Dominica,0.51,DMA"
Cyprus,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0",,,,,,,"Dominican Republic,64.05,DOM"
Czechia,6,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0,6",,,,,,,"Ecuador,100.50,ECU"
Denmark,10,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0,6,10",,,,,,,"Egypt,284.90,EGY"
Djibouti,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0,6,10,0",,,,,,,"El Salvador,25.14,SLV"
Dominica,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0,6,10,0,0",,,,,,,"Equatorial Guinea,15.40,GNQ"
Dominican Republic,19,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0,6,10,0,0,19",,,,,,,"Eritrea,3.87,ERI"
Ecuador,17,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0,6,10,0,0,19,17",,,,,,,"Estonia,26.36,EST"
Egypt,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0,6,10,0,0,19,17,0",,,,,,,"Ethiopia,49.86,ETH"
El Salvador,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0,6,10,0,0,19,17,0,0",,,,,,,"Falkland Islands (Islas Malvinas),0.16,FLK"
Equatorial Guinea,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0,6,10,0,0,19,17,0,0,0",,,,,,,"Faroe Islands,2.32,FRO"
Eritrea,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0,6,10,0,0,19,17,0,0,0,0",,,,,,,"Fiji,4.17,FJI"
Estonia,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0,6,10,0,0,19,17,0,0,0,0,0",,,,,,,"Finland,276.30,FIN"
Ethiopia,0,"0,0,0,0,0,0,0,0,0,5,0,0,42,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,41,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,16,9,0,0,0,6,10,0,0,19,17,0,0,0,0,0,0",,,,,,,"France,2902.00,FRA"
